Feature_Index,Weight
0,20.328327656918745
1,-49.0165624575456
2,12.465478383055896
3,-226.0511820741305
4,212.13830178176192
5,-19.787245458780184
6,29.187474620997385
7,-13.351058526621443
8,-36.17632578356494
9,-18.799812410847423
10,-35.868021038293946
11,-24.49198541628613
12,5.6615284994742705
13,-14.471690565934345
14,-8.109620228322603
15,34.09725779919847
16,-12.813406072809594
17,27.911422651562543
18,-67.36773393932684
19,51.158895760783004
20,27.7153675967526
21,8.799354542918085
22,99.2720035939943
23,-213.59191952685464
24,915.1783521312551
25,683.6864683037991
26,-1043.8233661359686
27,2419.7121284308614
28,-1731.3448589766388
29,152.1238742245822
